Date,Close
38967.00,45.87
38966.00,46.02
38965.00,46.75
38961.00,46.48
38960.00,45.86
38959.00,45.61
38958.00,45.9
38957.00,45.29
38954.00,45.16
38953.00,44.85
38952.00,45.17
38951.00,45.9
38950.00,45.47
38947.00,45.95
38946.00,45.65
38945.00,45.18
38944.00,44.84
38943.00,44.05
38940.00,44
38939.00,44.85
38938.00,44.76
38937.00,44.55
38936.00,44.35
38933.00,44.77
38932.00,44.47
38931.00,44.61
38930.00,44
38929.00,45.15
38926.00,45.6
38925.00,45.05
38924.00,44.5
38923.00,44.25
38922.00,44.3
38919.00,43
38918.00,43.25
38917.00,43.74
38916.00,42.1
38915.00,42.45
38912.00,42.8
38911.00,43.35
38910.00,44.5
38909.00,45.04
38908.00,44.85
38905.00,43.84
38904.00,44.28
38903.00,44.05
38901.00,45.8
38898.00,45.12
38897.00,44.54
38896.00,42.4
38895.00,41.59
38894.00,42.1
38891.00,42.05
38890.00,41.95
38889.00,42.5
38888.00,41.58
38887.00,41.99
38884.00,42.93
38883.00,43.2
38882.00,41.68
38881.00,40.06
38880.00,41.4
38877.00,41.99
38876.00,42.28
38875.00,43.59
38874.00,44.3
38873.00,44.45
38870.00,45.86
38869.00,45.82
38868.00,45.3
38867.00,44.44
38863.00,46.54
38862.00,46.01
38861.00,45.65
38860.00,45.85
38859.00,45.63
38856.00,47.85
38855.00,46.99
38854.00,47.47
38853.00,48.45
38852.00,48.77
38849.00,49.82
38848.00,50.76
38847.00,51.73
38846.00,51.7
38845.00,52.15
38842.00,51.5
38841.00,51.08
38840.00,50.64
38839.00,50.68
38838.00,49.9
38835.00,49.6
38834.00,50.54
38833.00,50.97
38832.00,49.86
38831.00,50.11
38828.00,50.58
38827.00,50.24
38826.00,50.39
38825.00,50.3
38824.00,49.21
38820.00,48.33
38819.00,47.41
38818.00,47.52
38817.00,48.72
38814.00,48.75
38813.00,49.09
38812.00,49.12
38811.00,48.45
38810.00,47.64
38807.00,46.65
38806.00,45.76
38805.00,45.84
38804.00,45.02
38803.00,45.59
38800.00,44.95
